review,rating,date,bank,source,sentiment_label,sentiment_score,clean_text,theme
maaliif daddafee install gaafata,3,2025-11-28,CBE,google_play,Neutral,0.0,maaliif daddafee install gaafata,Other
good app,5,2025-11-28,CBE,google_play,Positive,0.4404,good app,Other
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,google_play,Positive,0.5198,application important advantage transfer money finance coutry foriegn country,Other
why didn't work this app?,1,2025-11-27,CBE,google_play,Neutral,0.0,work app,Other
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,google_play,Positive,0.68,app make life easy thank cbe,Other
this app very bad 👎,1,2025-11-27,CBE,google_play,Negative,-0.5849,app bad,Other
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,google_play,Positive,0.6701,advanced app stay safe,Other
Good application,4,2025-11-27,CBE,google_play,Positive,0.4404,good application,Other
It is nice app,5,2025-11-26,CBE,google_play,Positive,0.4215,nice app,Other
best,5,2025-11-25,CBE,google_play,Positive,0.6369,well,Other
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,google_play,Negative,-0.8979,suddenly ask enter verification key receive verification key near cbe branch australia expect nearest furthermost cbe branch frustrating manage bank account,Other
nice app...,5,2025-11-25,CBE,google_play,Positive,0.4215,nice app,Other
very good banking service and fast service,5,2025-11-24,CBE,google_play,Positive,0.4927,good banking service fast service,Other
thanks blc this app help me to use all time,5,2025-11-24,CBE,google_play,Positive,0.6808,thank blc app help use time,Customer Support
good,5,2025-11-24,CBE,google_play,Positive,0.4404,good,Other
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,google_play,Neutral,0.0,send money people telebirr wallet,Other
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,google_play,Neutral,0.0,አታፍሩም ግን birr ብር ስትቆርጡ ይስተካከልልን,Other
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,google_play,Neutral,0.0,በጣም ቀላልና ምቹ,Other
