review,rating,date,bank,source,sentiment_label,sentiment_score
maaliif daddafee install gaafata,3,2025-11-28,CBE,google_play,Neutral,0.0
good app,5,2025-11-28,CBE,google_play,Positive,0.4404
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,google_play,Positive,0.5198
why didn't work this app?,1,2025-11-27,CBE,google_play,Neutral,0.0
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,google_play,Positive,0.68
this app very bad 👎,1,2025-11-27,CBE,google_play,Negative,-0.5849
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,google_play,Positive,0.6701
Good application,4,2025-11-27,CBE,google_play,Positive,0.4404
It is nice app,5,2025-11-26,CBE,google_play,Positive,0.4215
best,5,2025-11-25,CBE,google_play,Positive,0.6369
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,google_play,Negative,-0.8979
nice app...,5,2025-11-25,CBE,google_play,Positive,0.4215
very good banking service and fast service,5,2025-11-24,CBE,google_play,Positive,0.4927
thanks blc this app help me to use all time,5,2025-11-24,CBE,google_play,Positive,0.6808
good,5,2025-11-24,CBE,google_play,Positive,0.4404
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,google_play,Neutral,0.0
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,google_play,Neutral,0.0
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,google_play,Neutral,0.0
wow,5,2025-11-23,CBE,google_play,Positive,0.5859
nice,5,2025-11-22,CBE,google_play,Positive,0.4215
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,google_play,Neutral,0.0
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,google_play,Positive,0.7177
excellent,5,2025-11-22,CBE,google_play,Positive,0.5719
ዳጊ,5,2025-11-21,CBE,google_play,Neutral,0.0
absolutely right,5,2025-11-21,CBE,google_play,Neutral,0.0
mid application it's so annoying,3,2025-11-20,CBE,google_play,Negative,-0.541
I used morethan one year,4,2025-11-20,CBE,google_play,Neutral,0.0
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,google_play,Positive,0.1531
"It's great app,I love this app",5,2025-11-20,CBE,google_play,Positive,0.8519
Nice,5,2025-11-19,CBE,google_play,Positive,0.4215
suckkkks,1,2025-11-19,CBE,google_play,Neutral,0.0
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,google_play,Neutral,0.0
I love you this app,5,2025-11-19,CBE,google_play,Positive,0.6369
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,google_play,Positive,0.7003
make life easy,5,2025-11-19,CBE,google_play,Positive,0.4404
securr,5,2025-11-19,CBE,google_play,Neutral,0.0
My most optional bank,5,2025-11-17,CBE,google_play,Neutral,0.0
5 star,5,2025-11-17,CBE,google_play,Neutral,0.0
it is fantastic app.,5,2025-11-16,CBE,google_play,Positive,0.5574
sifen,5,2025-11-16,CBE,google_play,Neutral,0.0
i like this√,4,2025-11-16,CBE,google_play,Positive,0.3612
Ok,3,2025-11-16,CBE,google_play,Positive,0.296
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,google_play,Negative,-0.3818
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,google_play,Negative,-0.8466
Like,5,2025-11-13,CBE,google_play,Positive,0.3612
Nice and very useful app i like it!,5,2025-11-13,CBE,google_play,Positive,0.831
Good,5,2025-11-13,CBE,google_play,Positive,0.4404
smart app,4,2025-11-12,CBE,google_play,Positive,0.4019
good App,5,2025-11-12,CBE,google_play,Positive,0.4404
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,google_play,Positive,0.4854
ok,5,2025-11-11,CBE,google_play,Positive,0.296
cbe is my choice,4,2025-11-11,CBE,google_play,Neutral,0.0
Awesome,5,2025-11-11,CBE,google_play,Positive,0.6249
